,Inches,CPU_Frequency (GHz),RAM (GB),Weight (kg),Touchscreen,SSD,Res_Width,Res_Height,IPS_Panel,HDD,Company_Apple,Company_Asus,Company_Chuwi,Company_Dell,Company_Fujitsu,Company_Google,Company_HP,Company_Huawei,Company_LG,Company_Lenovo,Company_MSI,Company_Mediacom,Company_Microsoft,Company_Razer,Company_Samsung,Company_Toshiba,Company_Vero,Company_Xiaomi,Price (Euro)
0,13,2,8,1,0,128,2560,1600,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1339
1,13,1,8,1,0,0,1440,900,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898
2,15,2,8,1,0,256,1920,1080,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,575
3,15,2,14,1,0,512,2880,1800,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2537
4,13,3,8,1,0,256,2560,1600,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1803
5,15,3,4,2,0,0,1366,768,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400
6,15,2,14,2,0,0,2880,1800,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2139
7,13,1,8,1,0,0,1440,900,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158
8,14,1,14,1,0,512,1920,1080,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495
9,14,1,8,1,0,256,1920,1080,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770
10,15,2,4,1,0,0,1366,768,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,393
11,15,2,4,1,0,0,1920,1080,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,344
12,15,2,14,1,0,256,2880,1800,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2439
13,15,2,4,2,0,256,1920,1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498
14,12,1,8,0,0,256,2304,1440,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262
15,13,2,8,1,0,256,2560,1600,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1518
16,15,2,8,2,0,256,1920,1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745
17,15,2,14,1,0,512,2880,1800,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2827
18,15,2,8,2,0,0,1920,1080,0,1024,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,499
19,13,1,8,1,1,128,1920,1080,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979
20,11,1,2,0,0,0,1366,768,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191
21,15,2,8,2,0,128,1920,1080,1,1024,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999
22,15,1,4,1,0,0,1366,768,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,258
23,13,1,8,1,1,256,1920,1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819
24,15,1,8,1,0,256,1920,1080,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,659
25,15,2,4,2,0,0,1366,768,0,1024,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418
26,13,1,8,1,0,0,1440,900,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099
27,15,1,8,2,0,256,1920,1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800
28,15,1,8,1,0,512,1920,1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1298
29,17,1,8,2,0,0,1920,1080,0,1024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,896
30,15,1,4,1,0,0,1920,1080,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244
31,14,1,2,1,0,0,1366,768,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199
32,17,2,4,2,0,0,1920,1080,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,439
33,13,1,14,1,1,512,3200,1800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1869
34,13,1,8,1,0,0,1440,900,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998
35,14,1,4,1,0,0,1366,768,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,249
36,15,2,4,2,0,0,1366,768,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367
37,17,1,8,2,0,128,1920,1080,1,1024,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979
38,15,2,4,1,0,0,1366,768,0,1024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,488
39,15,1,8,2,0,256,1920,1080,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,879
40,15,2,4,2,0,0,1920,1080,0,1024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389
41,15,2,14,2,0,256,1920,1080,1,1024,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499
42,15,2,8,2,0,0,1366,768,0,1024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522
43,15,1,4,2,0,256,1920,1080,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682
44,17,1,12,2,1,0,1920,1080,0,1024,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999
45,13,2,8,1,0,256,2560,1600,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419
46,15,2,4,2,0,128,1366,768,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,369
47,17,3,8,3,0,256,1920,1080,0,1024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1299
48,15,2,4,2,0,256,1920,1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639
49,17,1,4,2,0,0,1366,768,0,1024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466
50,11,1,4,0,1,0,1920,1200,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,319
51,15,1,8,2,0,256,1920,1080,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841
52,15,2,4,1,0,256,1920,1080,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,398
53,13,1,8,1,0,512,1920,1080,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1103
54,15,2,4,2,0,0,1366,768,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384
55,15,1,8,2,0,256,1920,1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767
56,15,2,4,1,0,128,1920,1080,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,439
57,15,2,4,2,0,256,1366,768,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586
